"Attributes","Attribute Type","Required"
"LastDirSyncTime","System.Nullable`1[[System.DateTime, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"LastName","System.String","NO"
"LastPasswordChangeTimestamp","System.Nullable`1[[System.DateTime, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"LicenseAssignmentDetails","System.Collections.Generic.List`1[[Microsoft.Online.Administration.LicenseAssignmentDetail, Microsoft.Online.Administration.Automation.PSModule, Version=1.1.0.0, Culture=neutral, PublicKeyToken=null]]","NO"
"LicenseReconciliationNeeded","System.Nullable`1[[System.Boolean, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"Licenses","System.Collections.Generic.List`1[[Microsoft.Online.Administration.UserLicense, Microsoft.Online.Administration.Automation.PSModule, Version=1.1.0.0, Culture=neutral, PublicKeyToken=null]]","NO"
"LiveId","System.String","NO"
"MSExchRecipientTypeDetails","System.Nullable`1[[System.Int64, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"MSRtcSipDeploymentLocator","System.String","NO"
"MSRtcSipPrimaryUserAddress","System.String","NO"
"MobilePhone","System.String","NO"
"ObjectId","System.Nullable`1[[System.Guid, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"Office","System.String","NO"
"OverallProvisioningStatus","Microsoft.Online.Administration.ProvisioningStatus","NO"
"PasswordNeverExpires","System.Nullable`1[[System.Boolean, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"PasswordResetNOtRequiredDuringActivate","System.Nullable`1[[System.Boolean, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"PhoneNumber","System.String","NO"
"PortalSettings","System.Xml.XmlElement","NO"
"PostalCode","System.String","NO"
"PreferredDataLocation","System.String","NO"
"PreferredLanguage","System.String","NO"
"ProxyAddresses","System.Collections.Generic.List`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"ReleaseTrack","System.Nullable`1[[Microsoft.Online.Administration.O365UserReleaseTrack, Microsoft.Online.Administration.Automation.PSModule, Version=1.1.0.0, Culture=neutral, PublicKeyToken=null]]","NO"
"ServiceInformation","System.Collections.Generic.List`1[[Microsoft.Online.Administration.ServiceInformation, Microsoft.Online.Administration.Automation.PSModule, Version=1.1.0.0, Culture=neutral, PublicKeyToken=null]]","NO"
"SignInName","System.String","NO"
"SoftDeletionTimestamp","System.Nullable`1[[System.DateTime, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"State","System.String","NO"
"StreetAddress","System.String","NO"
"StrongAuthenticationMethods","System.Collections.Generic.List`1[[Microsoft.Online.Administration.StrongAuthenticationMethod, Microsoft.Online.Administration.Automation.PSModule, Version=1.1.0.0, Culture=neutral, PublicKeyToken=null]]","NO"
"StrongAuthenticationPhoneAppDetails","System.Collections.Generic.List`1[[Microsoft.Online.Administration.StrongAuthenticationPhoneAppDetail, Microsoft.Online.Administration.Automation.PSModule, Version=1.1.0.0, Culture=neutral, PublicKeyToken=null]]","NO"
"StrongAuthenticationProofupTime","System.Nullable`1[[System.Int64, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"StrongAuthenticationRequirements","System.Collections.Generic.List`1[[Microsoft.Online.Administration.StrongAuthenticationRequirement, Microsoft.Online.Administration.Automation.PSModule, Version=1.1.0.0, Culture=neutral, PublicKeyToken=null]]","NO"
"StrongAuthenticationUserDetails","Microsoft.Online.Administration.StrongAuthenticationUserDetails","NO"
"StrongPasswordRequired","System.Nullable`1[[System.Boolean, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"StsRefreshTokensValidFrom","System.Nullable`1[[System.DateTime, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"Title","System.String","NO"
"UsageLocation","System.String","NO"
"UserLandingPageIdentifierForO365Shell","System.String","NO"
"UserPrincipalName","System.String","NO"
"UserThemeIdentifierForO365Shell","System.String","NO"
"UserType","System.Nullable`1[[Microsoft.Online.Administration.UserType, Microsoft.Online.Administration.Automation.PSModule, Version=1.1.0.0, Culture=neutral, PublicKeyToken=null]]","NO"
"ValidationStatus","System.Nullable`1[[Microsoft.Online.Administration.ValidationStatus, Microsoft.Online.Administration.Automation.PSModule, Version=1.1.0.0, Culture=neutral, PublicKeyToken=null]]","NO"
"WhenCreated","System.Nullable`1[[System.DateTime, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
