"Attributes","Attribute Type","Required"
"AddressListMembership","Deserialized.Microsoft.Exchange.Data.Directory.ADMultiValuedProperty`1[[Microsoft.Exchange.Data.Directory.ADObjectId, Microsoft.Exchange.Data.Directory, Version=15.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35]]","NO"
"AdministrativeUnits","Deserialized.Microsoft.Exchange.Data.Directory.ADMultiValuedProperty`1[[Microsoft.Exchange.Data.Directory.ADObjectId, Microsoft.Exchange.Data.Directory, Version=15.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35]]","NO"
"Alias","System.String","NO"
"OrganizationalUnit","System.String","NO"
"CustomAttribute1","System.String","NO"
"CustomAttribute10","System.String","NO"
"CustomAttribute11","System.String","NO"
"CustomAttribute12","System.String","NO"
"CustomAttribute13","System.String","NO"
"CustomAttribute14","System.String","NO"
"CustomAttribute15","System.String","NO"
"CustomAttribute2","System.String","NO"
"CustomAttribute3","System.String","NO"
"CustomAttribute4","System.String","NO"
"CustomAttribute5","System.String","NO"
"CustomAttribute6","System.String","NO"
"CustomAttribute7","System.String","NO"
"CustomAttribute8","System.String","NO"
"CustomAttribute9","System.String","NO"
"ExtensionCustomAttribute1","Deserialized.Microsoft.Exchange.Data.MultiValuedProperty`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"ExtensionCustomAttribute2","Deserialized.Microsoft.Exchange.Data.MultiValuedProperty`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"ExtensionCustomAttribute3","Deserialized.Microsoft.Exchange.Data.MultiValuedProperty`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"ExtensionCustomAttribute4","Deserialized.Microsoft.Exchange.Data.MultiValuedProperty`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"ExtensionCustomAttribute5","Deserialized.Microsoft.Exchange.Data.MultiValuedProperty`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"GrantSendOnBehalfTo","Deserialized.Microsoft.Exchange.Data.Directory.ADMultiValuedProperty`1[[Microsoft.Exchange.Data.Directory.ADObjectId, Microsoft.Exchange.Data.Directory, Version=15.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35]]","NO"
"ExternalDirectoryObjectId","System.String","NO"
"HiddenFromAddressListsEnabled","System.Boolean","NO"
"LastExchangeChangedTime","","NO"
"LegacyExchangeDN","System.String","NO"
"MaxSendSize","System.String","NO"
"MaxReceiveSize","System.String","NO"
"PoliciesIncluded","Deserialized.Microsoft.Exchange.Data.MultiValuedProperty`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"PoliciesExcluded","Deserialized.Microsoft.Exchange.Data.MultiValuedProperty`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"EmailAddressPolicyEnabled","System.Boolean","NO"
"RecipientType","System.String","NO"
"RecipientTypeDetails","System.String","NO"
"RejectMessagesFrom","Deserialized.Microsoft.Exchange.Data.Directory.ADMultiValuedProperty`1[[Microsoft.Exchange.Data.Directory.ADObjectId, Microsoft.Exchange.Data.Directory, Version=15.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35]]","NO"
"RejectMessagesFromDLMembers","Deserialized.Microsoft.Exchange.Data.Directory.ADMultiValuedProperty`1[[Microsoft.Exchange.Data.Directory.ADObjectId, Microsoft.Exchange.Data.Directory, Version=15.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35]]","NO"
"RejectMessagesFromSendersOrMembers","Deserialized.Microsoft.Exchange.Data.Directory.ADMultiValuedProperty`1[[Microsoft.Exchange.Data.Directory.ADObjectId, Microsoft.Exchange.Data.Directory, Version=15.0.0.0, Culture=neutral, PublicKeyToken=31bf3856ad364e35]]","NO"
"MailTip","","NO"
"MailTipTranslations","Deserialized.Microsoft.Exchange.Data.MultiValuedProperty`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"Identity","System.String","NO"
"Id","System.String","NO"
"IsValid","System.Boolean","NO"
"ExchangeVersion","System.String","NO"
"DistinguishedName","System.String","NO"
"ObjectCategory","System.String","NO"
"ObjectClass","Deserialized.Microsoft.Exchange.Data.MultiValuedProperty`1[[System.String, mscorlib, Version=4.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]]","NO"
"WhenChanged","System.DateTime","NO"
"WhenCreated","System.DateTime","NO"
"WhenChangedUTC","System.DateTime","NO"
"WhenCreatedUTC","System.DateTime","NO"
"ExchangeObjectId","System.Guid","NO"
"OrganizationalUnitRoot","System.String","NO"
"OrganizationId","System.String","NO"
"Guid","System.Guid","NO"
"OriginatingServer","System.String","NO"
"ObjectState","System.String","NO"
